id	name	industries	founded_date	num_employees	website	about
galaxy-digital-lp	Galaxy Digital	Asset Management, Banking, Cryptocurrency, Financial Services, FinTech	2018-01-01	251-500	https://www.galaxy.com	Galaxy Digital is a technology-driven investment firm that provides financial solutions spanning the digital assets ecosystem.
nordstar	Nordstar	Business Development, Financial Services, Venture Capital	2020-01-01	11-50	https://www.nordstar.com/	Nordstar partners with transformational companies seeking strategic and operational expertise, advice, and capital
felix-capital	Felix Capital	Consulting, Finance, Financial Services, FinTech, Venture Capital	2014-01-01	11-50	http://www.felixcap.com	Felix Capital is a venture fund that focuses on digital commerce, digital media, and information technology companies.
treasury-intelligence-solutions	Treasury Intelligence Solutions	Big Data, Business Intelligence, Cloud Computing, Cloud Management, Cloud Security, Enterprise Software, Information Technology, Payments, SaaS, Software	2010-01-01	251-500	http://www.tispayments.com	Treasury Intelligence Solutions is a cloud-based software for payments, cashflow, liquidity, and financial services.
wanchain	Wanchain	Blockchain, Infrastructure, Internet	2017-01-01	101-250	https://wanchain.org	Wanchain is a unique public blockchain with inter-chain transactions and privacy protection. 
solidblock	DIBS Capital (Registered as SDIB Inc), Formerly SolidBlock	Financial Services, FinTech, Real Estate, Real Estate Investment	2023-03-03	11-50	http://dibscapital.com	DIBS is creating a vast multi-broker network to facilitate a market for the sale of secondary shares of private companies
minna-technologies	Minna Technologies	Banking, Financial Services, FinTech, Personal Finance	2016-05-30	51-100	https://www.minna.tech	Minna Technologies is a subscription management company that connects banks and fintech with subscription businesses.
posse	Posse	Local Business, Search Engine, Social Network	2008-06-01	11-50	http://www.posse.com	Posse is a social search engine.
next-insurance	Next Insurance	Commercial Insurance, Finance, Insurance, InsurTech, Small and Medium Businesses	2016-01-01	501-1000	https://www.nextinsurance.com	Next Insurance is a financial service firm that offers insurance coverage to entrepreneurs and small businesses.
cardless	Cardless	Credit Cards, Finance, FinTech	2019-02-26	11-50	https://www.cardless.com	Cardless operates the leading platform for consumer brands to launch credit card products.
bullet-time-ventures	Techstars Ventures	Finance, Financial Services, Venture Capital	2006-01-01	1001-5000	http://techstars.com/ventures	Techstars Ventures is a venture capital firm that empowers entrepreneurs to bring new technologies to the market.
m360-advisors	M360 Advisors	Consulting, Financial Services, Service Industry	2014-01-01	1-10	https://www.m360advisors.com	M360 Advisors manages private investment vehicles focused on niche segments of private credit.
t-rex-2	T-REX	Analytics, Financial Exchanges, Financial Services, FinTech, Renewable Energy, SaaS	2012-05-04	51-100	http://www.trexgroup.com	T-REX provides advanced analytics and data services for structuring and managing investments across private credit and structured finance.
market-insight-out	Market Insight Out	Information Services, Information Technology, Software	2019-01-01	1-10	https://www.myclout.com	Market Insight Out aggregates investment insight from a variety of sources while enabling efficient curation and seamless distribution.
multinarity	Sightful	Augmented Reality, B2C	2020-06-25	11-50	http://www.sightful.com	Sightful is reinventing Augmented Reality for mass use in order to increase human productivity.
sunfire	Sunfire	Energy, Fuel, Hydroelectric, Manufacturing, Renewable Energy	2010-01-01	251-500	http://www.sunfire.de	Sunfire is an electrolysis company that designs and manufactures systems for the production of renewable industrial gas and fuel.
u-s-digital-response	U.S. Digital Response	Business Development, Government, Non Profit	2020-01-01	11-50	https://www.usdigitalresponse.org/	USDR helps governments, nonprofits, and public entities respond quickly to critical public needs.
langlearner	LangLearner	EdTech, Education, Internet, iOS, Language Learning, Mobile, Software, Travel	2008-09-15	1-10	http://www.langlearner.com	Interactive, web and mobile platform
ralco-agriculture	Ralco Agriculture	Agriculture, Health Care, Nutrition, Sales	1971-01-01	51-100	https://www.ralcoagriculture.com	Ralco Agriculture is a supplier of livestock nutrition, animal health products, and crop enhancement products.
eagle-eye-security-solutions	Eagle Eye Security Solutions	Field Support, Security, Wholesale	2009-01-01	11-50	https://www.guardme.ca	Eagle Eye Security Solutions is a supplier and installer of CCTV and access control systems.
gretel-co	Gretel.co	SaaS, Software	2022-01-01	1-10	https://gretel.co/	The feed that generates automated insights from your marketing apps.
ado-new-media-gmbh	ado New Media GmbH	Advertising, Marketing, Public Relations, Social Media, Web Design	2016-01-01	11-50	https://ado.group	ADO is a social media company that creates and expands corporate social media channels.
west-web-valley	West Web Valley	Advertising, Internet, Marketing, Web Design	2012-01-01	1-10	http://www.west-web-valley.fr/	West Web Valley is a digital marketing company to help start ups grow faster.
resonado	Resonado Labs	Audio, B2B, Intellectual Property	2017-05-24	11-50	http://www.resonado.com	Resonado Labs is an audio technology company with an uncompromising devotion to push the envelope of sound reproduction into new dimensions.
onigo-70ef	OniGO	Apps, Delivery Service, E-Commerce, Grocery, Information Technology	2021-06-10	11-50	https://onigo.co.jp/	OniGO operates and develops an online platform that offers and provides home delivery of supermarket grocery.
reloshare	ReloShare	Hospitality, Hotel, Insurance, Social Impact	2020-06-05	11-50	https://www.reloshare.com	First and only alias based hotel booking platform for government and social services organizations.
bitso	Bitso	Bitcoin, Cryptocurrency, Financial Exchanges, Financial Services, FinTech	2014-01-04	501-1000	https://bitso.com	Bitso is a cryptocurrency exchange platform that allows users to buy and sell bitcoin and other cryptocurrencies.
kaleidescape	Kaleidescape	Software, Theatre	2001-01-01	51-100	https://www.kaleidescape.com/	Kaleidescape Strato delivers better video quality than most commercial theaters.
crowdfund-intermediary-regulatory-advocated-cfira	Crowdfund Intermediary Regulatory Advocated (CFIRA)	Non Profit	NULL	101-250	http://www.cfira.org/	Crowdfund Intermediary Regulatory Advocates is a nonprofit organization that helps establish rules, industry standards, and best practices.
8th-stage	8TH STAGE	Internet, Music, Social Media	2013-01-01	11-50	http://www.8thstage.com	8th stage is an online social network dedicated to helping music artists achieve their dreams.
lesaka-technologies	Lesaka Technologies	B2B, Financial Services, Payments, Transaction Processing	1997-01-01	1001-5000	https://lesakatech.com	Lesaka Technologies is a financial technology company that offers secure transaction channels for B2B and B2B customers.
mesh-payments	Mesh Payments	Finance, Financial Services, Mobile Payments, Payments	2018-01-01	101-250	https://meshpayments.com	Mesh provides a centralized and automated spend platform that helps finance teams with visibility and control.
opstart	Opstart Fintech Hub	Crowdfunding, FinTech, Marketplace	2015-01-01	11-50	https://www.opstart.it/	Opstart is a professional crowdfunding marketplace for equity, lending and debt crowdfunding.
lumia-capital	Lumia Capital	Emerging Markets, Enterprise, Finance, Financial Services, FinTech, Retail Technology, SaaS, Venture Capital	2011-01-01	11-50	http://lumiacapital.com	Lumia is an expansion-stage VC firm partnering with US and European innovators expanding internationally for breakout growth.
reali	Reali	Consumer Lending, Finance, FinTech, Lending, PropTech, Real Estate	2016-01-01	101-250	http://www.reali.com/	Reali is a real estate and fintech company that is creating a one-stop-shop to make homeownership simple, affordable and stress-free.
techaviv	TechAviv	Communities, Professional Networking, Venture Capital	2007-08-01	1001-5000	http://techaviv.com/	TechAviv is the global Israeli startup founders club and fund.
breaking-banks-europe	Breaking Banks Europe	Film Production	2019-01-01	11-50	https://provoke.fm/show/breaking-banks-europe	Breaking Banks Europe is a media production company.
ginger-software	Ginger Software	Apps, Artificial Intelligence (AI), Developer APIs, iOS, Mobile Apps, Natural Language Processing, Software, Text Analytics, Web Apps	2007-01-01	51-100	http://www.gingersoftware.com	Ginger develops mobile keyboards and writing enhancement apps that make it easy to quickly write high-quality text.
financial-solutions-lab	Financial Solutions Lab	Asset Management, Finance, Financial Services, FinTech, Information Technology, Non Profit	2014-01-01	11-50	http://finlab.finhealthnetwork.org/	The Financial Solutions Lab is a catalyst for innovations that improve financial health.
leosphere	Leosphere	Electronics, Manufacturing, Renewable Energy	2004-01-01	101-250	http://www.leosphere.com	Leosphere manufactures and markets complex optoelectronic devices.
edge-delta	Edge Delta	Computer, DevOps, Network Security, Software	2018-01-01	51-100	https://edgedelta.com	Edge Delta is a observability platform offering Cloud-First Log Search, Analytics and Data Pipelines.
zobrio	Zobrio	Cloud Computing, Computer, Software	1987-01-01	11-50	http://zobrio.com/	Zobrio is a software, services and IT management company specializing in Cloud/SaaS cash management.
wemaintain	WeMaintain	Building Maintenance, Industrial Engineering, Information Technology, Real Estate, Smart Building	2017-09-01	101-250	https://www.wemaintain.com	WeMaintain is a tech-enabled elevator and building maintenance company that provides an end-to-end solution for building operations.
mentee-robotics	Mentee Robotics	Artificial Intelligence (AI), Robotics	2022-01-01	11-50	https://www.menteebot.com	Mentee Robotics combines robotics, sensing, and artificial intelligence to create a humanoid robot.
onalytica	Onalytica	Advertising, Analytics, Big Data, Enterprise Software	2004-05-18	11-50	http://www.onalytica.com	Onalytica is an information technology services firm that offers influencer relationship management and predictive analytics software.
deep-trading	Deep Trading	Artificial Intelligence (AI), Education, Financial Services, FinTech, Insurance, Machine Learning, Software	2016-01-21	11-50	http://www.deeptrading.com	Utilizing mass deep learning algorithms in finance
lendoit-technologies-israel	Lendoit	Blockchain, Cryptocurrency, FinTech, Lending, Smart Contracts	2017-06-01	11-50	https://lendoit.com	Lendoit is a P2P Lending platform that connects borrowers and lenders using smart contracts and blockchain technology.
lisnr-llc	LISNR	Analytics, Audio, Automotive, FinTech, Internet of Things, Mobile, Mobile Payments, Retail Technology, Ticketing, Transportation	2012-03-01	11-50	http://www.lisnr.com	LISNR enables secure and seamless data transmission using the most advanced ultrasonic data technology
ark	Ark	Information Technology, Location Based Services, Search Engine, Social Media	2010-01-01	11-50	http://www.ark.com	Ark.com is a search engine enabling users to search for old classmates, new business contacts, and friends.
texel-2	TEXEL	Software, Sports, Video Streaming	2016-01-01	11-50	http://texel.live/	Cloud-based video technology that enables individualized, multi-feed, highly-social, interactive viewing experience across all devices.
ning	Ning Interactive	Communities, Enterprise Software, SaaS, Social, Software	2004-10-31	251-500	https://www.ning.com	Ning is a SaaS-based platform for deploying vibrant social communities and websites.
attune-1da1	Attune	Software	2019-01-01	11-50	https://www.attuneteams.com/	Attune helps simplify employee management designed providing the tools needed on mobile.
sky-drop	Skydrop	Delivery Service, E-Commerce, Logistics, Robotics, Transportation	2013-11-01	11-50	http://www.getskydrop.com	Skydrop provides drone delivery service of retail and e-commerce items to consumer homes.
skydrops	Skydrops	Manufacturing, Water, Wholesale	2021-01-01	11-50	http://skydropswater.com	Skydrops is a bottled water company that produces and supplies aluminum and glass bottles of drinking water.
easyllabus	Easyllabus	EdTech, Education, Podcast	2020-01-01	1-10	https://www.easyllabus.be/	Easyllabus develops an educational platform offering podcasts.
fieldin	FieldIn	Agriculture, AgTech, Farming, Information Technology, Internet of Things, Software	2013-05-05	11-50	https://www.fieldin.com	FieldIn is an Ag data software service that optimizes pest management in orchards and vineyards.
zencity	Zencity	Analytics, Artificial Intelligence (AI), GovTech, SaaS, Software	2015-06-01	101-250	http://www.zencity.io	Zencity is a global community engagement SaaS technology platform for local governments.
fürst-fugger-privatbank	Fürst Fugger Privatbank	Asset Management, Banking, Lending, Wellness	1954-01-01	101-250	https://www.fuggerbank.de	Fürst Fugger Privatbank is a private banking firm that offers wealth management, asset preservation, and consulting services.
nubank	Nubank	Banking, Credit Cards, Financial Services, FinTech	2013-05-06	5001-10000	https://www.nubank.com.br	Nubank is a digital bank offering seamless financial services, including payments, credit cards, and personal loans.
founder-institute	Founder Institute	Events, Training, Venture Capital	2009-04-16	NULL	http://www.fi.co	The Founder Institute is the world’s most proven network to turn ideas into fundable startups, and startups into global businesses.
rothschild-gestion	Rothschild & Co.	Banking, Financial Services	1970-01-01	1001-5000	https://www.rothschildandco.com	Rothschild provides strategic, M&A, wealth management and fundraising advice to governments, companies and individuals worldwide.
the-tie	The TIE	Analytics, Cryptocurrency, Finance, Financial Services, FinTech	2017-12-01	101-250	https://www.thetie.io/	The TIE is the leading provider of information to institutions in digital assets.
pavegen-systems	Pavegen	Big Data, Energy, Renewable Energy	2009-01-01	11-50	http://www.pavegen.com	Pavegen is the global leader in harvesting energy and data from footfall.
temporall	Temporall	Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning	2017-01-01	11-50	https://temporall.com/	Temporall provides an AI and analytics-based platform to give key performance insights.
fin-tech-sandbox	FinTech Sandbox	Financial Services, FinTech, Non Profit	2014-01-01	11-50	http://fintechsandbox.org/	Enabling FinTech entrepreneurs to build robust products through free access to quality financial data.
h-farm	H-FARM	B2B, Blockchain, Fashion, FinTech, Food and Beverage, Internet of Things, Retail, SaaS, Tourism, Travel	2005-01-01	501-1000	http://www.h-farm.com/en/	H-FARM is an innovative platform set up in 2005 to help entrepreneurs launch new initiatives and support the digitalisation of Corporates
acretrader	AcreTrader	Agriculture, AgTech, Asset Management, FinTech, Real Estate Investment	2018-09-01	51-100	https://www.acretrader.com	AcreTrader is a technology company connecting investors, land, and farmers.
caddi	CADDi	Artificial Intelligence (AI), Information Services, Information Technology, Manufacturing, Software, Supply Chain Management	2017-11-01	501-1000	https://caddi-inc.com	CADDi is an online ordering platform that tracks industrial products for the manufacturing business.
personetics-technologies	Personetics	Analytics, Finance, Financial Services, FinTech, Information Technology	2010-01-01	101-250	http://www.personetics.com	Personetics is a provider of data-driven personalization and customer engagement tools for banks and financial services companies.
investing-com	Investing.com	Finance, FinTech, Insurance, News, Social Media, Stock Exchanges	2007-09-01	251-500	http://www.investing.com	Investing.com is a source for tools and information relating to the financial markets.
ninja-trader	NinjaTrader	FinTech, Software	2003-01-01	251-500	http://www.ninjatrader.com	NinjaTrader Group, LLC together with its subsidiaries provides award winning trading software and brokerage services to active traders.
international-organization-for-standardization	International Organization for Standardization	Business Development, News, Publishing	1947-02-23	101-250	http://www.iso.org	International Organization for Standardization is a development organization that develops and publishes guidelines.
stellerro	Stellerro	Artificial Intelligence (AI), Blockchain, Machine Learning	2018-01-01	NULL	https://www.stellerro.com/	Stellerro is the first STO predictive analytics AI Index, based on Optimized Tokenomics via Reinforced Learning and Simulating modeling.
breez	Breez	Bitcoin, Payments	2018-05-24	11-50	https://breez.technology	Lightning fast Bitcoin payments
au10tix	AU10TIX	Cyber Security, Identity Management, Machine Learning, Security	2005-01-01	101-250	http://www.au10tix.com	AU10TIX focuses on global customer onboarding and forensic level identity authentication.
finda-c4a5	iDAL	Communities	2018-02-15	1-10	https://www.idal.co	Technology, community and expert management for talent
yodlee	Yodlee	Banking, Financial Services, FinTech, Mobile, Software	1999-01-01	1001-5000	http://www.yodlee.com	Yodlee is a provider of financial applications that offers solutions for banks, entrepreneurs and individuals.
twine-health	Twine Health	Health Care, Health Diagnostics, Hospital	2014-01-01	11-50	http://www.twinehealth.com/	Twine Health is a cloud-based collaborative care platform for chronic disease management.
astana-international-finance-centre	Astana International Finance Centre	Consulting, Financial Services	2018-01-01	51-100	http://www.aifc.kz/	The AIFC operates within a special legal regime based on Common Law, which regulates the legal relationships.
pollinate-energy	Pollinate Energy	Non Profit, Social Entrepreneurship	2012-01-01	11-50	http://pollinateenergy.org/	Pollinate Energy, a social business, offers India’s urban poor with access to affordable products with a focus on sustainable solutions.
acquafintech	Acquafintech	Financial Services	2020-01-01	NULL	http://www.acquafintech.com/	Acquafintech is a financial consultancy service that find the best tailored and innovate payment solutions for your business requirements.
1-of-nothing	1% of Nothing	Non Profit	2011-04-01	1-10	http://1percentof.org	1% of Nothing connects businesses that donate one percent of their equity for social and community development purposes.
atlantic-labs	Atlantic Labs	Venture Capital	2013-01-01	11-50	http://www.atlanticlabs.de	Atlantic Labs is a European first round investor, headquartered in Berlin.
disney-abc-television-group	Disney–ABC Television Group	Broadcasting, Children, Internet, News, Publishing, TV, Video	1985-01-01	5001-10000	http://www.disneyabctv.com	Disney–ABC Television Group manages all of Disney and ABC-branded television and internet properties.
bankmobile-disbursements	BankMobile Disbursements	Consulting, Financial Services, FinTech	NULL	11-50	https://bankmobiledisbursements.com	BankMobile Disbursements offers financial aid disbursement services and student checking accounts.
relco	Relco	Food Processing, Industrial Engineering, Machinery Manufacturing, Manufacturing	1982-01-01	101-250	https://www.relco.net	Relco provides dairy and food industries with capital equipments, processing systems and packaging solutions.
attune-2	Attune	B2B	2016-01-01	51-100	https://www.attuneinsurance.com	Attune is an insurance producer driven by technology and human insights focused on helping brokers and their clients thrive.
gretel	GRETEL	Machinery Manufacturing, Manufacturing	1974-01-01	1-10	https://www.gretel.fr/	GRETEL specializes in the production and lettings electric boiler as the heating comfort.
electronic-eye-security	Electronic Eye Security	Security	1997-01-01	11-50	https://thesecuritygenius.com/	Electronic Eye Security Specializing in Amazon Key for Business Access Control, Security and Video Monitoring.
everfuel	Everfuel	Energy, Fuel, Renewable Energy, Sustainability	2019-01-01	51-100	http://www.everfuel.com	Everfuel is a green fuel company that commercializes green hydrogen for mobility and industry.
third-eye-security-facility-services	Third Eye Security & Facility Services	Facilities Support Services, Facility Management, Housekeeping Service, Security	2018-01-01	11-50	https://www.3rdeyeservices.in	3RD EYE Services is a facility support services firm that provides guarding, housekeeping, and facility management services.
interssl-com-baumgartner-new-media-gmbh	InterSSL.com - Baumgartner New Media GmbH	Information Technology, Internet	2007-05-07	1-10	https://www.interssl.com	SSL and S/MIME certificate specialist
sensibill	Sensibill	Banking, Big Data, Financial Services, FinTech, Retail	2013-01-01	51-100	https://getsensibill.com	Sensibill makes SKU-level data actionable, equipping financial institutions with insights to help their customers.
odaseva	Odaseva	Analytics, Business Information Systems, Cloud Security, Enterprise Software, SaaS	2012-01-01	101-250	https://www.odaseva.com	Odaseva delivers comprehensive data security and management solutions for enterprises running on Salesforce.
america-s-frontier-fund	America’s Frontier Fund	Finance, Financial Services, Impact Investing, Non Profit	2021-01-01	11-50	https://www.americasfrontier.org	America’s Frontier Fund focuses on securing the technology leadership and prosperity of America, its partners, and other democracies.
